2026-05-22 11:57:40,Type: Real-time Plotter
time_s,force_N,weight_g
55.5,-0.04227,-4.3144
55.93700000000001,-0.092066,-9.3968
56.374000000000024,-0.030817,-3.1454
56.811000000000035,-0.110295,-11.2574
57.24799999999999,-0.055374,-5.6518
57.685,-0.13642,-13.9238
58.122000000000014,-0.084111,-8.5849
58.55799999999999,-0.068476,-6.9891
58.995000000000005,-0.026219,-2.6761
59.432000000000016,-0.0456,-4.6542
59.86900000000003,-0.072417,-7.3913
60.30600000000004,0.005222,0.533
60.742999999999995,0.004994,0.5097
61.18000000000001,0.00781,0.7971
61.61700000000002,-0.024667,-2.5176
62.05400000000003,-0.011681,-1.1923
62.49100000000004,0.015998,1.6328
62.928,0.028465,2.9053
63.36500000000001,-0.027853,-2.8429
63.801000000000045,-0.013861,-1.4148
64.238,5.8e-05,0.006
64.67500000000001,-0.047098,-4.8071
65.11200000000002,-0.033086,-3.377
65.54900000000004,6e-05,0.0061
65.98599999999999,-0.019827,-2.0237
66.423,-0.004113,-0.4198
66.86000000000001,-0.010189,-1.0399
67.29700000000003,0.057035,5.8214
67.73400000000004,0.000898,0.0917
68.17099999999999,0.004962,0.5064
68.608,-0.001845,-0.1883
69.04400000000004,0.017741,1.8107
69.481,0.031535,3.2187
69.918,0.030854,3.1491
70.35500000000002,0.0209,2.1332
70.79200000000003,-0.002796,-0.2854
71.22900000000004,0.007823,0.7985
71.666,0.007553,0.7709
72.10300000000001,0.00389,0.397
72.54000000000002,0.006461,0.6595
72.97700000000003,0.055446,5.6592
73.41400000000004,0.045449,4.6388
73.851,0.001708,0.1743
74.28800000000001,0.001527,0.1559
74.72500000000002,0.001812,0.185
75.161,0.003002,0.3064
75.59800000000001,0.001947,0.1987
76.03500000000003,0.001327,0.1355
76.47200000000004,0.001344,0.1372
76.90899999999999,0.001716,0.1751
77.346,0.001668,0.1702
77.78300000000002,0.002962,0.3023
78.22000000000003,0.001659,0.1694
78.65700000000004,0.001654,0.1688
79.094,0.001107,0.113
79.531,0.001171,0.1195
79.96800000000002,0.001643,0.1677
80.40500000000003,0.003306,0.3375
80.84200000000004,-0.000609,-0.0622
81.279,-0.00071,-0.0725
81.71500000000003,-0.000621,-0.0634
82.15200000000004,-0.000726,-0.0741
82.589,-0.000736,-0.0751
83.02600000000001,-0.000724,-0.0739
83.46300000000002,-0.000876,-0.0894
83.90000000000003,-0.000527,-0.0538
84.33700000000005,0.000698,0.0712
84.774,0.000536,0.0547
85.21100000000001,0.000501,0.0512
85.64800000000002,0.00024,0.0245
86.08500000000004,0.000345,0.0352
86.52199999999999,0.000409,0.0418
86.95800000000003,0.000347,0.0354
87.39500000000004,0.001041,0.1062
87.832,-0.001661,-0.1695
88.269,0.088498,9.0326
88.70600000000002,0.21202,21.64
89.14300000000003,-0.000348,-0.0355
89.58000000000004,-6.9e-05,-0.007
90.017,0.000605,0.0617
90.45400000000001,0.004658,0.4755
90.89100000000002,0.332458,33.9326
91.32800000000003,0.000388,0.0396
91.76500000000004,-0.000753,-0.0768
92.202,-6e-06,-0.0006
92.63800000000003,0.003146,0.3211
93.07500000000005,0.003037,0.3099
93.512,-0.000779,-0.0795
93.94900000000001,0.000204,0.0208
94.38600000000002,0.000724,0.0739
94.82300000000004,-0.203061,-20.7256
95.25999999999999,-1.359471,-138.7555
95.697,-0.001354,-0.1381
96.13400000000001,-0.000982,-0.1002
96.57100000000003,-0.001091,-0.1113
97.00800000000004,-0.001416,-0.1445
97.445,0.001185,0.1209
97.882,0.001698,0.1733
98.31800000000004,0.001367,0.1395
98.755,0.00116,0.1184
99.19200000000001,0.000869,0.0887
99.62900000000002,0.000824,0.0842
100.06600000000003,0.000743,0.0759
100.50300000000004,0.000787,0.0803
100.94,0.000685,0.0699
101.37700000000001,0.000549,0.056
101.81400000000002,0.000555,0.0567
102.25100000000003,0.000398,0.0406
102.68800000000005,0.000417,0.0426
103.125,0.00015,0.0153
103.56200000000001,2.2e-05,0.0022
103.99799999999999,-4.9e-05,-0.005
104.435,7.7e-05,0.0079
104.87200000000001,9.9e-05,0.0101
105.30900000000003,0.000123,0.0126
105.74600000000004,0.000224,0.0228
106.18299999999999,0.000193,0.0197
106.62,0.000212,0.0216
